4028,福岡県,前原市,まえばる,2009年12月31日,糸島郡（全２町）志摩町、二丈町と合併,2009年04月16日
40002,福岡県,糸島郡,いとしま,2009年12月31日,前原市と合併,2009年04月16日
23001,滋賀県,伊香郡,いか,2009年12月31日,伊香郡（全４町）が長浜市に編入合併,2009年03月30日
23011,滋賀県,東浅井郡,ひがしあざい,2009年12月31日,東浅井郡（全２町）が長浜市に編入合併,2009年03月30日
310101,岡山県,岡山市北区,きた,2009年04月01日,岡山市の政令指定都市移行で区制,◆2008年12月22日
310102,岡山県,岡山市中区,なか,2009年04月01日,岡山市の政令指定都市移行で区制,◆2008年12月22日
310103,岡山県,岡山市東区,ひがし,2009年04月01日,岡山市の政令指定都市移行で区制,◆2008年12月22日
310104,岡山県,岡山市南区,みなみ,2009年04月01日,岡山市の政令指定都市移行で区制,◆2008年12月22日
16008,群馬県,勢多郡,せた,2009年05月04日,同郡（全１村）富士見村を前橋市に編入合併,2008年11年05月
45007,宮崎県,南那珂郡,みなみなか,2009年03月29日,同郡（全２町）北郷町及び南郷町が日南市と合併,2008年08月08日
18007,静岡県,志太郡,しだ,2008年12月31日,同郡（全２町）大井川町が2008年１１月１日に焼津市に編入合併。その後、岡部町が2009年１月１日に藤枝市に編入合併。,2008年08年08月
18003,静岡県,庵原郡,いはら,2008年10月31日,同郡（全２町）由比町が静岡市に編入合併（2008年４月15日告示済み）。富士川町が富士市に編入合併。,2008年08月08日
4625,鹿児島県,伊佐市,いさ,2008年11月01日,大口市と伊佐郡（全１町）菱刈町が合併,2008年01月30日
4609,鹿児島県,大口市,おおくち,2008年10月31日,伊佐郡（全１町）菱刈町と合併して伊佐市へ。,2008年01月30日
46002,鹿児島県,伊佐郡,いさ,2008年10月31日,大口市と同郡（全１町）菱刈町が合併して伊佐市へ。,2008年01月30日
33010,山口県,美祢郡,みね,2008年03月20日,美祢郡美東町、秋芳町の全２町が、美祢市と合併,2007年08月06日
4624,鹿児島県,南九州市,みなみきゅうしゅう,2007年12月01日,揖宿郡頴娃町の全１町と、川辺郡知覧町、川辺町の全２町が合併,2007年08月06日
46004,鹿児島県,揖宿郡,いぶすき,2007年11月30日,川辺郡の全２町と合併して南九州市へ,2007年08月06日
46007,鹿児島県,川辺郡,かわなべ,2007年11月30日,指宿郡の全１町と合併して南九州市へ,2007年08月06日
41004,佐賀県,佐賀郡,さが,2007年09月30日,佐賀郡の全３町が佐賀市に編入合併,2007年04月02日
080101,新潟県,新潟市北区,きた,2007年04月01日,新潟市の政令指定都市移行で区制,◆2006年12月18日
080102,新潟県,新潟市東区,ひがし,2007年04月01日,新潟市の政令指定都市移行で区制,◆2006年12月18日
080103,新潟県,新潟市中央区,ちゅうおう,2007年04月01日,新潟市の政令指定都市移行で区制,◆2006年12月18日
080104,新潟県,新潟市江南区,こうなん,2007年04月01日,新潟市の政令指定都市移行で区制,◆2006年12月18日
080105,新潟県,新潟市秋葉区,あきは,2007年04月01日,新潟市の政令指定都市移行で区制,◆2006年12月18日
080106,新潟県,新潟市南区,みなみ,2007年04月01日,新潟市の政令指定都市移行で区制,◆2006年12月18日
080107,新潟県,新潟市西区,にし,2007年04月01日,新潟市の政令指定都市移行で区制,◆2006年12月18日
080108,新潟県,新潟市西蒲区,にしかん,2007年04月01日,新潟市の政令指定都市移行で区制,◆2006年12月18日
180201,静岡県,浜松市中区,なか,2007年04月01日,浜松市の政令指定都市移行で区制,◆2006年12月01日
180202,静岡県,浜松市東区,ひがし,2007年04月01日,浜松市の政令指定都市移行で区制,◆2006年12月01日
180203,静岡県,浜松市西区,にし,2007年04月01日,浜松市の政令指定都市移行で区制,◆2006年12月01日
180204,静岡県,浜松市南区,みなみ,2007年04月01日,浜松市の政令指定都市移行で区制,◆2006年12月01日
180205,静岡県,浜松市北区,きた,2007年04月01日,浜松市の政令指定都市移行で区制,◆2006年12月01日
180206,静岡県,浜松市浜北区,はまきた,2007年04月01日,浜松市の政令指定都市移行で区制,◆2006年12月01日
180207,静岡県,浜松市天竜区,てんりゅう,2007年04月01日,浜松市の政令指定都市移行で区制,◆2006年12月01日
0720,福島県,本宮市,もとみや,2007年01月01日,安達郡本宮町、白沢村の１町１村が合併,2006年11月02日
11005,神奈川県,津久井郡,つくい,2007年03月10日,津久井郡城山町の全１町が相模原市に編入,2006年11月02日
31018,岡山県,御津郡,みつ,2007年01月21日,御津郡建部町の全１町が岡山市に編入,2006年10月24日
31002,岡山県,赤磐郡,あかいわ,2007年01月21日,赤磐郡瀬戸町の全１町が岡山市に編入,2006年10月24日
2215,京都府,木津川市,きづがわ,2007年03月12日,相楽郡山城町、木津町、加茂町が合併,2006年08月07日
17005,山梨県,東八代郡,ひがしやつしろ,2006年07月31日,　東八代郡芦川村（全一村）が笛吹市へ編入,2006年07月24日
16006,群馬県,群馬郡,ぐんま,2006年09月30日,　群馬郡榛名町（全一町）が高崎市へ編入,2006年07月13日
4035,福岡県,みやま市,みやま,2007年01月29日,山門郡瀬高町、山川町（全２町）と三池郡高田町（全一町）が合併,2006年07月13日
40017,福岡県,山門郡,やまと,2007年01月28日,合併して、みやま市へ,2006年07月13日
40013,福岡県,三池郡,みいけ,2007年01月28日,合併して、みやま市へ,2006年07月13日
2609,和歌山県,岩出市,いわで,2006年04月01日,市制,2006年03月17日
26004,和歌山県,那賀郡,なが,2006年03月31日,　那賀郡岩出町（全１町）が岩出市へ,2006年03月17日
2037,愛知県,弥富市,やとみ,2006年04月01日,海部郡十四山村が同郡弥富町に編入すると同時に、弥富市となる,2006年01月23日
250201,大阪府,堺市堺区,さかい,2006年04月01日,堺市の政令指定都市移行で区制,◆2005年12月21日
250202,大阪府,堺市中区,なか,2006年04月01日,堺市の政令指定都市移行で区制,◆2005年12月21日
250203,大阪府,堺市東区,ひがし,2006年04月01日,堺市の政令指定都市移行で区制,◆2005年12月21日
250204,大阪府,堺市西区,にし,2006年04月01日,堺市の政令指定都市移行で区制,◆2005年12月21日
250205,大阪府,堺市南区,みなみ,2006年04月01日,堺市の政令指定都市移行で区制,◆2005年12月21日
250206,大阪府,堺市北区,きた,2006年04月01日,堺市の政令指定都市移行で区制,◆2005年12月21日
